Sida,Klick,Exponeringar,CTR,position
https://seb.se/privat/verktyg-for-din-ekonomi/digipass,6842,178744,3.83%,5.78
https://seb.se/privat/aktuella-rantor,6322,108318,5.84%,9.45
https://seb.se/privat/lana/bolan-och-rantor/lanelofte-och-guide/lanelofte,6221,109754,5.67%,4.82
https://seb.se/privat/lana/bolan-och-rantor/bunden-ranta-bolan,5900,51700,11.41%,5.57
https://seb.se/var-kundservice/9269/stodjer-seb-apple-pay/,5690,29566,19.25%,5.48
https://seb.se/privat/betala/kort-for-privatpersoner/sparra-kort,5654,80236,7.05%,7.39
https://seb.se/privat/verktyg-for-din-ekonomi/swish,5416,155829,3.48%,7.68
https://seb.se/privat/livet/skilsmassa/checklista-tips-att-tanka-pa-vid-en-separation,5306,106228,4.99%,10.37
https://seb.se/privat/betala/kort-for-privatpersoner/seb-debit,5223,194265,2.69%,4.12
https://seb.se/privat/betala/betala-till-utlandet,5033,76947,6.54%,12.85
https://seb.se/privat/aktuella-priser,4957,75336,6.58%,7.08
https://seb.se/privat/betala/kort-for-privatpersoner/kompletterande-reseforsakring,4945,62423,7.92%,16.26
https://seb.se/privat/betala/konton/privatkonto,4564,61132,7.47%,7.52
https://seb.se/privat/lana,4415,249186,1.77%,14.28
https://seb.se/var-kundservice/c1241-kort,3889,67835,5.73%,6.38
https://seb.se/privat/betala/betala-rakningar/autogiro,3821,50618,7.55%,9.55
https://seb.se/privat/digitala-tjanster/swish,3751,96925,3.87%,8.34
https://seb.se/media/sa-mycket-bor-du-spara-till-pensionen,3630,27636,13.14%,7.3
https://seb.se/privat/verktyg-for-din-ekonomi/bankid-pa-kort,3573,202271,1.77%,4.13
https://seb.se/teknikhjalp/driftinformation,3382,17748,19.06%,5.96
https://seb.se/bors-och-finans,3369,98946,3.4%,13.46
https://seb.se/privat/livet/att-flytta-ihop/sarkullbarn-tank-pa-det-har,3273,34995,9.35%,9.36
https://seb.se/privat/verktyg-for-din-ekonomi/appen-for-privatpersoner,3270,98689,3.31%,9.88
https://seb.se/privat/betala/kort/kompletterande-reseforsakring,3183,48719,6.53%,15.57
https://seb.se/privat/livet/nar-barnen-ska-flytta-hemifran/tre-satt-att-hjalpa-barnen-kopa-forsta-bostaden,2996,42154,7.11%,15.53
https://seb.se/privat/livet/att-flytta-ihop,2809,22339,12.57%,6.63
https://seb.se/var-kundservice/11112/hur-andrar-jag-beloppsgrans-for-swish/,2764,20960,13.19%,3.52
https://seb.se/privat/pension-och-forsakring/vardforsakringar/for-dig-med-vardforsakring,2763,13056,21.16%,6.76
https://seb.se/privat/betala/kort-for-privatpersoner/seb-maestro,2740,180277,1.52%,3.98
https://seb.se/privat/verktyg-for-din-ekonomi/appen-for-unga,2673,45426,5.88%,6.6
https://seb.se/var-kundservice,2635,241851,1.09%,4.3
https://seb.se/bors-och-finans/valutor/sedelkurser-for-resevaluta,2590,62567,4.14%,16.67
https://seb.se/privat/betala/kort-for-privatpersoner/reklamera-kortkop,2564,27360,9.37%,8.69
https://seb.se/privat/spara-och-placera/sparguide/hur-mycket-ska-man-spara,2563,29456,8.7%,9.65
https://seb.se/foretag/verktyg-for-ditt-foretagande/internetbanken-foretag,2542,189527,1.34%,4.74
https://seb.se/hitta-bankkontor/seb-i-stockholm-sveavagen-kontantkassa,2484,56943,4.36%,6.2
https://seb.se/var-kundservice/11146/hur-sparrar-och-bestaller-jag-ett-nytt-kort/,2469,32068,7.7%,4.68
https://seb.se/privat/betala/betala-rakningar/losa-in-utbetalningsavier,2465,36134,6.82%,9.28
https://seb.se/privat/betala/betala-rakningar/e-faktura,2392,63021,3.8%,17.34
https://seb.se/var-kundservice/11238/vad-gor-jag-om-jag-har-glomt-bort-pinkoden-till-min-digipass/,2391,23892,10.01%,3.76
https://seb.se/privat/spara-och-placera/aktier-och-andra-placeringar/eqt,2362,39798,5.93%,7.99
https://seb.se/privat/betala/betala-till-utlandet/internationella-betalningar/hur-lang-tid-tar-en-utlandsbetalning,2314,33288,6.95%,9.76
https://seb.se/privat/spara-och-placera/oppna-ett-sparkonto/investeringssparkonto,2222,64493,3.45%,10.54
https://seb.se/hitta-bankkontor/seb-i-solna-arenastaden,2213,38882,5.69%,5.85
https://seb.se/privat/spara-och-placera/oppna-ett-sparkonto,2207,32877,6.71%,18.51
https://seb.se/var-kundservice/1041/hur-gor-jag-med-mitt-mobila-bankid-nar-jag-byter-mobil/,2203,45423,4.85%,5.29
https://seb.se/kundservice,2163,47600,4.54%,6.39
https://seb.se/privat/ekonomikollen/bostad-och-bolan/tre-satt-att-hjalpa-barnen-kopa-forsta-bostaden,2159,24562,8.79%,16.23
https://seb.se/juridik-och-sakerhet/internetsakerhet/vanliga-bedragerier,2152,172975,1.24%,5.56
https://seb.se/var-kundservice/c1080-digipass,2114,27518,7.68%,5.21
https://seb.se/om-seb/telefonen-ar-ditt-bankkontor,2103,19792,10.63%,8.85
https://seb.se/foretag/betala-och-ta-betalt/ta-betalt-fran-utlandet/sepa-betalning,2100,24777,8.48%,10.34
https://seb.se/privat/betala/enkla-vardagen,2054,15179,13.53%,6.52
https://seb.se/privat/betala/betala-till-utlandet/internationella-betalningar,2052,31846,6.44%,9.95
https://seb.se/privat/lana/privatlan-och-krediter/billan-lana-till-bil-med-enkla-lanet,2043,104734,1.95%,24.83
https://seb.se/privat/verktyg-for-din-ekonomi/mobilt-bankid/aktivera-mobilt-bankid,2042,41688,4.9%,4.1
https://seb.se/media/gift-eller-sambo-vad-ar-skillnaden,2039,20383,10%,12.33
https://seb.se/foretag/bli-foretagskund/ung-foretagsamhet,2025,41619,4.87%,6.59
https://seb.se/hitta-bankkontor/seb-i-goteborg-city,2025,40230,5.03%,7.72
https://seb.se/media/nyheterna-som-paverkar-din-planbok-2019,2024,45723,4.43%,11.66
https://seb.se/bors-och-finans/fonder/fondlista,2022,28334,7.14%,3.31
https://seb.se/om-seb/chatta-med-oss,2012,37339,5.39%,8.93
https://seb.se/privat/betala/konton/valutakonto,1990,17795,11.18%,10.84
https://seb.se/privat/lana/bolan-och-rantor/bolanerantor/genomsnittsrantor-historik,1981,38588,5.13%,4.19
https://seb.se/kundservice/kundservice-privat/kontakta-oss?icmp=sebses_nyaseb_link_b1_nyaseb,1977,19590,10.09%,8.35
https://seb.se/pow/wave/apps/iban/ibancalc.asp,1948,40206,4.85%,17.09
https://seb.se/teknikhjalp/problem-att-logga-in,1941,160416,1.21%,6.93
https://seb.se/bors-och-finans/aktier/sverige/omxs30,1931,29169,6.62%,8.06
https://seb.se/privat/pension-och-forsakring/vardforsakringar,1899,31598,6.01%,6.48
https://seb.se/foretag/betala-och-ta-betalt/ta-betalt/bankgiro-inbetalningar,1875,26409,7.1%,13.95
https://seb.se/pow/apps/Valutakurser/avista_tot.asp,1831,27166,6.74%,22.35
https://seb.se/privat/digitala-tjanster/internetbanken-privat/ny-inloggningssida-till-internetbanken,1828,50544,3.62%,4.11
https://seb.se/pow/apps/iban/ibancalc.asp?lang=sv,1827,12704,14.38%,4.68
https://seb.se/om-seb,1813,141737,1.28%,2.93
https://seb.se/privat/lana/privatlan-och-krediter/byggnadslan,1794,24836,7.22%,10.89
https://seb.se/media/sa-anvander-du-kortet-utomlands,1792,15937,11.24%,11.23
https://seb.se/foretag/verktyg-for-ditt-foretagande/swish-foretag,1778,57445,3.1%,6.7
https://seb.se/foretag/betala-och-ta-betalt/betala/foretagskort,1776,29234,6.08%,8.28
https://seb.se/juridik-och-sakerhet/darfor-staller-vi-fragor-till-dig/alternativ-verklig-huvudman,1739,7817,22.25%,8.06
https://seb.se/hitta-bankkontor/seb-i-malmo-ostergatan,1698,28503,5.96%,8.31
https://seb.se/mobiltbankid,1683,59161,2.84%,9.7
https://seb.se/privat/bli-kund,1676,122764,1.37%,2.02
https://seb.se/privat/livet/att-skaffa-barn/checklista-tips-nar-du-ska-skaffa-barn,1666,15382,10.83%,12.11
https://seb.se/foretag/bli-foretagskund/enkla-firman,1665,32250,5.16%,11.96
https://seb.se/privat/pension-och-forsakring/pensionsspara/aktuella-basbelopp,1658,150594,1.1%,8.98
https://seb.se/foretag/betala-och-ta-betalt/betala/foretagskort/seb-corporate-limit,1649,25248,6.53%,5.6
https://seb.se/privat/spara-och-placera/aktier-och-andra-placeringar,1621,82180,1.97%,12.53
https://seb.se/privat/lana/bolan-och-rantor/lanelofte-och-guide/kopa-eller-salja-bostad-forst,1603,51926,3.09%,10.52
https://seb.se/bors-och-finans/valutor/bestall-resevaluta,1589,52840,3.01%,10.24
https://seb.se/privat/betala/studenterbjudande,1564,17901,8.74%,26.35
https://seb.se/media/darfor-ska-du-skriva-aktenskapsforord,1552,25637,6.05%,6.35
https://seb.se/pow/content/pdf/A7649.pdf,1551,13368,11.6%,8.08
https://seb.se/privat/pension-och-forsakring/pensionsspara/tjanstepension-och-avtalspension,1518,34831,4.36%,11.17
https://seb.se/var-kundservice/11149/vad-ar-mitt-iban-nummer-och-bic-kod-swift/,1502,13154,11.42%,5.13
https://seb.se/privat/betala/betala-rakningar,1495,55290,2.7%,10
https://seb.se/privat/livet/flytta-utomlands/sa-koper-du-bostad-utomlands,1480,20491,7.22%,23.12
https://seb.se/privat/private-banking/seb-selected,1476,22856,6.46%,15.86
https://seb.se/privat/pension-och-forsakring/kapitalforsakringar,1432,31827,4.5%,7.93
https://seb.se/foretag/spara-och-placera/konton-for-foretagare/foretagskonto,1422,22888,6.21%,5.47
https://seb.se/privat/verktyg-for-din-ekonomi/sa-har-anvander-du-bank-pa-telefon,1412,27667,5.1%,9.27
https://seb.se/privat/spara-och-placera/spara-i-fonder,1403,44962,3.12%,8.54
https://seb.se/privat/livet/starta-eget/checklista-steg-till-att-starta-eget,1402,72786,1.93%,10.5
https://seb.se/privat/betala/studenterbjudande/studentlan,1348,28588,4.72%,14.66
https://seb.se/swish,1346,21762,6.19%,10.74
https://seb.se/privat/bli-kund/hur-gor-jag-for-att-byta-bank,1340,21896,6.12%,8.4
https://seb.se/Kundservice/kundservice-foretag/Vanliga-fragor-och-svar/fragor-och-svar-om-konton/,1319,22273,5.92%,5.21
https://seb.se/privat/betala/blippa,1294,40525,3.19%,8.22
https://seb.se/privat/livet/skilsmassa/skriv-ett-bodelningsavtal,1283,11794,10.88%,6.77
https://seb.se/foretag/betala-och-ta-betalt/ta-betalt-fran-utlandet/utlandsbetalning,1268,22159,5.72%,6.42
https://seb.se/Kundservice/Kundservice-privat/Lonespecifikation/,1252,14987,8.35%,5.5
https://seb.se/privat/spara-och-placera/aktier-och-andra-placeringar/eqt?icmp=sebsep_spara_story_r8_eqt,1239,9890,12.53%,6.81
https://seb.se/privat/lana/bolan-och-rantor/andra-ditt-bolan-hos-oss,1237,41218,3%,10.76
https://seb.se/hitta-bankkontor/seb-i-lund-kyrkogatan,1237,12921,9.57%,6.27
https://seb.se/privat/lana/privatlan-och-krediter/laneskydd,1236,17299,7.14%,12.05
https://seb.se/privat/betala/blippa/samsung-pay-betala-med-mobilen,1228,26828,4.58%,16.22
https://seb.se/var-kundservice/c972-bolan,1208,46833,2.58%,7.4
https://seb.se/privat/bli-kund/new-in-sweden,1208,43608,2.77%,2.7
https://seb.se/privat/lana/bolan-och-rantor/lanelofte-och-guide/mote-med-banken,1181,39111,3.02%,2.8
https://seb.se/privat/livet/hantera-dodsfall/checklista-att-tanka-pa-nar-en-anhorig-har-avlidit,1174,38961,3.01%,12.21
https://seb.se/teknikhjalp/rekommenderade-webblasare,1168,18340,6.37%,5.35
https://seb.se/var-kundservice/1066/hur-gor-jag-for-att-kopa-byta-eller-salja-fonder/,1164,6492,17.93%,9.01
https://seb.se/Kundservice/Kundservice-privat/Vanliga-fragor-och-svar/fragor-och-svar-om-kort/,1157,18486,6.26%,8.65
https://seb.se/privat/ekonomikollen/familj-och-juridik/kloka-tips-for-dig-som-ar-sambo-med-eller-utan-barn,1151,12354,9.32%,10.57
https://seb.se/foretag/bli-foretagskund/starta-eget-foretag-steg-for-steg,1142,72824,1.57%,12.7
https://seb.se/privat/betala/betala-till-utlandet/internationella-betalningar/uppgifter-om-betalningsmottagare,1126,16679,6.75%,6.5
https://seb.se/privat/spara-och-placera/radgivning/privatradgivning,1119,7787,14.37%,9.49
https://seb.se/foretag/pension-och-forsakring/tjanstepension-tryggplan,1118,14273,7.83%,11.56
https://seb.se/privat/spara-och-placera/spara-till-barn,1112,29956,3.71%,9.42
https://seb.se/pow/content/produkter/betalningar/garanti_broschyr_eng.pdf,1109,30076,3.69%,17.49
https://seb.se/var-kundservice/1021/kan-jag-stanga-mitt-kort-for-kop-pa-internet-eller-utomlands/,1093,27133,4.03%,5.55
https://seb.se/pow/content/pdf/dodsbo-fullmakt-A7852acro.pdf,1088,8984,12.11%,10.13
https://seb.se/var-kundservice/1025/vad-ska-jag-tanka-pa-nar-jag-far-mitt-nya-kort/,1084,23050,4.7%,8.08
https://seb.se/var-kundservice/c960-betala-overfora,1081,21447,5.04%,5.34
https://seb.se/foretag/bli-foretagskund/foretagspaketet,1037,30577,3.39%,11.48
https://seb.se/privat/lana/privatlan-och-krediter/renoveringslan-lana-till-renovering-med-enkla-lanet,1035,23090,4.48%,9.65
https://seb.se/privat/spara-och-placera/spara-i-fonder/fondkonto,1033,24084,4.29%,6.77
https://seb.se/pow/content/pdf/guide_internetbanken_privat_eng.pdf,1026,16170,6.35%,9.31
https://seb.se/pow/content/pdf/guide_internetbanken_privat.pdf,1015,12787,7.94%,6.18
https://seb.se/foretag/finansiera/fastighetslan,1007,15570,6.47%,9.47
https://seb.se/privat/pension-och-forsakring/vardforsakringar/vardforsakring,1002,33773,2.97%,7.15
https://seb.se/privat/spara-och-placera/oppna-ett-sparkonto/placeringskonto,989,29129,3.4%,32.7
https://seb.se/kundservice/kundservice-foretag?icmp=sebsef_snabbvag_link_fc2_kontakt,981,23025,4.26%,6.92
https://seb.se/privat/lana/privatlan-och-krediter,972,37198,2.61%,7.61
https://seb.se/var-kundservice/11112/hur-andrar-jag-beloppsgrans-for-swish/f037024f-b8ea-4fb5-c6c3-85f2f58d464a,965,9594,10.06%,4.97
https://seb.se/hitta-bankkontor/seb-i-goteborg-nordstan,962,11198,8.59%,6.44
https://seb.se/var-kundservice/3960/vad-ar-uttag-och-insattningsgransen-i-en-bankomat/,953,11758,8.11%,5.45
https://seb.se/privat/betala/kort/bankkort-visa,949,26446,3.59%,8.87
https://seb.se/privat/betala/kort-for-privatpersoner/trygga-kortkop-pa-natet,949,24841,3.82%,9.6
https://seb.se/var-kundservice/c960-betala,946,24895,3.8%,6.93
https://seb.se/privat/lana/bolan-och-rantor/flytta-bolan-till-oss,938,36419,2.58%,8.72
https://seb.se/media/sa-mycket-far-du-lana,927,43160,2.15%,6.86
https://seb.se/privat/livet/att-flytta-ihop/checklista-tips-nar-du-flyttar-ihop,922,13951,6.61%,13.7
https://seb.se/var-kundservice/11219/hur-byter-jag-mobilt-bankid-nar-mitt-barn-byter-mobil/,919,10364,8.87%,10.37
https://seb.se/Privat/Betala/Kort/uttagsgranser-for-kort/,917,5600,16.38%,5.01
https://seb.se/foretag/betala-och-ta-betalt/ta-betalt-fran-utlandet,906,13068,6.93%,7.81
https://seb.se/privat/pension-och-forsakring/liv-och-sjukforsakringar,899,23575,3.81%,4.14
https://seb.se/foretag/pension-och-forsakring/direktpension,899,7961,11.29%,5.75
https://seb.se/privat/lana/privatlan-och-krediter/medlemslan,898,40153,2.24%,6.79
https://seb.se/var-kundservice/9967/hur-byter-jag-pinkoden-pa-mitt-kort/,876,11292,7.76%,3.77
https://seb.se/foretag/verktyg-for-ditt-foretagande/internetbanken-foretag/digital-fullmakt,869,6142,14.15%,6.46
https://seb.se/foretag/finansiera/banklan,865,55485,1.56%,11.09
https://seb.se/privat/lana/bolan-och-rantor/grona-bolanet,864,20435,4.23%,12.76
https://seb.se/foretag/pension-och-forsakring,861,26999,3.19%,11.68
https://seb.se/media/boranteradet,856,19573,4.37%,9.17
https://seb.se/privat/livet/hantera-dodsfall/nar-och-hur-betalas-arvet-ut,854,12318,6.93%,13.33
https://seb.se/Kundservice/hitta-bankkontor/seb-i-goteborg-kungsportsavenyn/,854,11523,7.41%,5.66
https://seb.se/privat/livet/brollop/checklista-tips-nar-du-ska-gifta-dig,821,13667,6.01%,13.3
https://seb.se/pow/content/produkter/internetkontoret/digipassguiden_talande.pdf,814,11673,6.97%,5.01
https://seb.se/privat/lana/bolan-och-rantor/bolan/erbjudande-for-medlemmar-i-saco-forbunden,806,21434,3.76%,11.66
https://seb.se/foretag/pension-och-forsakring/vardforsakringar/vardforsakring-foretag,804,13596,5.91%,17.36
https://seb.se/privat/pension-och-forsakring/blanketter-och-villkor-for-pension-forsakring,802,19989,4.01%,4.83
https://seb.se/privat/livet/skilsmassa,799,14958,5.34%,19.86
https://seb.se/foretag/betala-och-ta-betalt/ta-betalt-fran-utlandet/utlandsbetalning/sa-har-gor-du-en-utlandsbetalning,793,12739,6.22%,5.65
https://seb.se/media/sa-fungerar-nya-amorteringskravet,790,30490,2.59%,11.89
https://seb.se/om-seb/telefonbanken-foretag,784,22404,3.5%,6.89
https://seb.se/var-kundservice/1091/vad-gor-jag-om-det-star-batt-0-5-pa-min-digipass/,782,14548,5.38%,4.24
https://seb.se/privat/livet/flytta-utomlands,774,10176,7.61%,19.17
https://seb.se/privat/spara-och-placera/sparguide/hur-valjer-jag-de-basta-fonderna,773,29000,2.67%,11.35
https://seb.se/foretag/finansiera/sakra-din-affar/remburs,766,6436,11.9%,8.69
https://seb.se/foretag/finansiera/kontokredit-foretag,751,14407,5.21%,9.81
https://seb.se/foretag/aktuella-priser,741,49721,1.49%,7.63
https://seb.se/Kundservice/Kundservice-privat/Vanliga-fragor-och-svar/fragor-och-svar-om-enkla-lanet/,738,15738,4.69%,10.4
https://seb.se/orebro,734,32274,2.27%,6.55
https://seb.se/privat/spara-och-placera/oppna-ett-sparkonto/enkla-sparkontot,733,12792,5.73%,6.1
https://seb.se/privat/spara-och-placera/enkla-depan,732,9032,8.1%,12.21
https://seb.se/privat/lana/bolan-och-rantor/ansok-om-bolanelofte,730,43720,1.67%,2.02
https://seb.se/privat/livet/hantera-dodsfall,724,17278,4.19%,16.05
https://seb.se/juridik-och-sakerhet/darfor-staller-vi-fragor-till-dig,721,82348,0.88%,3.21
https://seb.se/privat/spara-och-placera/spara-i-fonder/seb-pensionsfond-sek-lux,700,5133,13.64%,7.01
https://seb.se/hitta-bankkontor/seb-i-helsingborg-stortorget,694,9280,7.48%,12.33
https://seb.se/var-kundservice/11119/hur-oppnar-jag-ett-nytt-privatkonto-eller-enkla-sparkonto/b2d5c9ec-9af4-49d5-929c-6e74af36e5ff,693,11005,6.3%,5.23
https://seb.se/media/tjanste--och-avtalspension--har-du-koll-pa-skillnaden,693,8345,8.3%,7.09
https://seb.se/hitta-bankkontor/seb-i-halmstad,692,8143,8.5%,8.74
https://seb.se/privat/livet/att-skaffa-barn/sa-paverkar-ett-barn-ekonomin,690,14164,4.87%,9.84
https://seb.se/privat/verktyg-for-din-ekonomi/appen-for-privatpersoner/snabbsaldo-i-mobilen,684,16290,4.2%,4.62
https://seb.se/hitta-bankkontor/seb-i-stockholm-odenplan,677,24239,2.79%,4.53
https://seb.se/kundservice/kundservice-foretag?icmp=sebsef_help_link_fc2_kundservice,673,14085,4.78%,6.2
https://seb.se/hitta-bankkontor/seb-i-vasteras,671,12735,5.27%,8.42
https://seb.se/privat/ekonomikollen/vardagsekonomi/sa-fungerar-nya-amorteringskravet?icmp=sebsep_ekonomikollen_ad_pb3_safungerarnyaamorteringskravet,667,31547,2.11%,8.58
https://seb.se/var-kundservice/1190/hur-laser-jag-upp-mitt-bankid-kort-om-jag-slagit-fel-pinkod-for-manga-ganger/,666,6219,10.71%,8.69
https://seb.se/hitta-bankkontor/seb-i-stockholm-sodermalm,665,57068,1.17%,5.55
https://seb.se/hitta-bankkontor/seb-i-goteborg-sisjo-centrum,664,18654,3.56%,6.44
https://seb.se/foretag/pension-och-forsakring/sjukforsakring-foretag,662,9681,6.84%,11.94
https://seb.se/hitta-bankkontor/seb-i-goteborg-lindholmen,654,8020,8.15%,9.31
https://seb.se/privat/pension-och-forsakring/pensionsspara/privat-pensionssparande,648,31420,2.06%,5.98
https://seb.se/var-kundservice/11059/hur-tar-jag-fram-ett-kontoutdrag-for-mitt-konto/,646,2932,22.03%,5.99
https://seb.se/hitta-bankkontor/seb-i-uppsala-centrum,639,9821,6.51%,10.17
https://seb.se/teknikhjalp/rensa-cache,636,46768,1.36%,8.09
https://seb.se/internetkontoret/,635,3269,19.42%,5.31
https://seb.se/privat/betala/kort/kompletterande-reseforsakring-for-privatpersoner,634,5827,10.88%,13.58
https://seb.se/privat/lana/privatlan-och-krediter/samla-lan-och-krediter,625,75594,0.83%,22.61
https://seb.se/Kundservice/Kundservice-privat/Motesplatser/telefonen-ar-ditt-bankkontor/,622,2387,26.06%,4.19
https://seb.se/privat/betala/kort-for-privatpersoner/seb-credit/erbjudanden-till-dig-med-seb-credit/koppla-av-i-menzies-lounger-i-vantan-pa-flyget,614,6623,9.27%,22.41
https://seb.se/kundservice/kundservice-foretag/vanliga-fragor-och-svar/fragor-och-svar-om-betalningar,613,5425,11.3%,5.63
https://seb.se/hitta-bankkontor/seb-i-stockholm-st-eriksgatan,610,11091,5.5%,10.68
https://seb.se/privat/spara-och-placera/sparguide/vilken-sparform-ska-jag-valja,609,14953,4.07%,11.33
https://seb.se/privat/ekonomikollen/bostad-och-bolan/sa-mycket-far-du-lana,607,17338,3.5%,10.9
https://seb.se/hitta-bankkontor/seb-i-arlanda-terminal-5,605,14792,4.09%,11.07
https://seb.se/privat/lana/privatlan-och-krediter/billan-lana-till-bil-med-enkla-lanet/basta-tipsen-om-du-ska-kopa-bil,604,28568,2.11%,29.44
https://seb.se/foretag/finansiera/leasing-och-avbetalning,602,16367,3.68%,20.79
https://seb.se/privat/spara-och-placera/oppna-ett-sparkonto/investeringssparkonto/skattesnurra,591,16265,3.63%,21.43
https://seb.se/foretag/finansiera/leasing-och-avbetalning/bilfinansiering,586,27123,2.16%,33.22
https://seb.se/privat/lana/bolan-och-rantor/andra-ditt-bolan-hos-oss/hoja-bolan,581,12680,4.58%,5.13
https://seb.se/foretag/verktyg-for-ditt-foretagande/ci-online,575,6968,8.25%,6.02
https://seb.se/privat/pension-och-forsakring/pensionsspara/individuellt-pensionssparande-ips,574,20609,2.79%,9.1
https://seb.se/pow/apps/kurslistafonder/kurslistafonder.aspx?A1=145,571,18778,3.04%,4.06
https://seb.se/privat/spara-och-placera/spara-i-fonder/indexfonder,566,17776,3.18%,11.74
https://seb.se/privat/betala/betala-till-utlandet/om-sepa-betalning,559,17913,3.12%,4.56
https://seb.se/privat/pension-och-forsakring/traditionell-forsakring,559,11575,4.83%,7.09
https://seb.se/sveavagen,558,64633,0.86%,2.88
https://seb.se/boras,556,24408,2.28%,6
https://seb.se/kundservice/kundservice-privat/vanliga-fragor-och-svar/fragor-och-svar-om-betalningar-och-konton/,552,5527,9.99%,9.36
https://seb.se/foretag/verktyg-for-ditt-foretagande/mobilt-bankid,549,49579,1.11%,7.53
https://seb.se/hitta-bankkontor/seb-i-gavle,549,7856,6.99%,12.21
https://seb.se/privat/betala/betala-rakningar/betalservice-via-internet,548,7635,7.18%,10.33
https://seb.se/pow/content/produkter/internetkontoret/digipassguiden_eng.pdf,546,7469,7.31%,11.98
https://seb.se/pow/apps/kurslistafonder/kurslistafonder.aspx?A1=337,540,9677,5.58%,5.88
https://seb.se/privat/lana/privatlan-och-krediter/lan-med-sakerhet,539,18810,2.87%,14.99
https://seb.se/pow/content/pdf/A1116villkor.pdf,538,9336,5.76%,13.54
https://seb.se/privat/private-banking/seb-selected/for-dig-med-seb-selected,535,9650,5.54%,21.68
https://seb.se/hitta-bankkontor/seb-i-linkoping,522,10711,4.87%,8.61
https://seb.se/privat/spara-och-placera/insattningsgarantin/deposit-guarantee,517,5111,10.12%,7.42
https://seb.se/privat/verktyg-for-din-ekonomi/vara-appar,514,13224,3.89%,7.48
https://seb.se/privat/verktyg-for-din-ekonomi/appen-for-privatpersoner/appversioner,510,23195,2.2%,5.01
https://seb.se/jonkoping,509,26857,1.9%,6.23
https://seb.se/Kundservice/Kundservice-privat/Vanliga-fragor-och-svar/fragor-och-svar-om-bolan/,505,13851,3.65%,7.69
https://seb.se/pow/content/produkter/lan/garantier_e0138.pdf,503,7707,6.53%,7.61
https://seb.se/Kundservice/Kundservice-privat/Vanliga-fragor-och-svar/fragor-och-svar-om-swish/,502,7490,6.7%,7.11
https://seb.se/stortorget,497,34093,1.46%,6.23
https://seb.se/hitta-bankkontor/seb-i-molndal,489,6374,7.67%,7.33
https://seb.se/ostergatan,486,71084,0.68%,2.85
https://seb.se/Foretag/digitala-tjanster/internetbanken-foretag/,485,10679,4.54%,4.52
https://seb.se/var-kundservice/11114/hur-kan-jag-se-pinkoden-for-mitt-kort-och-nollstalla-felaktiga-forsok/0e7c3224-427c-4281-c604-4a6a2e839995,484,1907,25.38%,5.34
https://seb.se/hitta-bankkontor/seb-i-orebro,481,10975,4.38%,10.63
https://seb.se/privat/lana/bolan-och-rantor/lanelofte-och-guide/tilltrade-och-inflyttning,481,5454,8.82%,12.86
